ERCC_ID	Molecules_per_cell
ERCC-00130	81298.90755
ERCC-00004	20324.72689
ERCC-00136	5081.181722
ERCC-00108	2540.590861
ERCC-00116	1270.29543
ERCC-00092	635.1477152
ERCC-00095	317.5738576
ERCC-00131	317.5738576
ERCC-00062	158.7869288
ERCC-00019	79.3934644
ERCC-00144	79.3934644
ERCC-00170	39.6967322
ERCC-00154	19.8483661
ERCC-00085	19.8483661
ERCC-00028	9.924183064
ERCC-00033	4.962091532
ERCC-00134	4.962091532
ERCC-00147	2.481045752
ERCC-00097	1.240522876
ERCC-00156	1.240522876
ERCC-00123	0.620261452
ERCC-00017	0.310130726
ERCC-00083	0.077532681
ERCC-00096	40649.45378
ERCC-00171	10162.36344
ERCC-00009	2540.590861
ERCC-00042	1270.29543
ERCC-00060	635.1477152
ERCC-00035	317.5738576
ERCC-00025	158.7869288
ERCC-00051	158.7869288
ERCC-00053	79.3934644
ERCC-00148	39.6967322
ERCC-00126	39.6967322
ERCC-00034	19.8483661
ERCC-00150	9.924183064
ERCC-00067	9.924183064
ERCC-00031	4.962091532
ERCC-00109	2.481045752
ERCC-00073	2.481045752
ERCC-00158	1.240522876
ERCC-00104	0.620261452
ERCC-00142	0.620261452
ERCC-00138	0.310130726
ERCC-00117	0.155065363
ERCC-00075	0.038766354
ERCC-00074	40649.45378
ERCC-00113	10162.36344
ERCC-00145	2540.590861
ERCC-00111	1270.29543
ERCC-00076	635.1477152
ERCC-00044	317.5738576
ERCC-00162	158.7869288
ERCC-00071	158.7869288
ERCC-00084	79.3934644
ERCC-00099	39.6967322
ERCC-00054	39.6967322
ERCC-00157	19.8483661
ERCC-00143	9.924183064
ERCC-00039	9.924183064
ERCC-00058	4.962091532
ERCC-00120	2.481045752
ERCC-00040	2.481045752
ERCC-00164	1.240522876
ERCC-00024	0.620261452
ERCC-00016	0.620261452
ERCC-00012	0.310130726
ERCC-00098	0.155065363
ERCC-00057	0.038766354
ERCC-00002	40649.45378
ERCC-00046	10162.36344
ERCC-00003	2540.590861
ERCC-00043	1270.29543
ERCC-00022	635.1477152
ERCC-00112	317.5738576
ERCC-00165	158.7869288
ERCC-00079	158.7869288
ERCC-00078	79.3934644
ERCC-00163	39.6967322
ERCC-00059	39.6967322
ERCC-00160	19.8483661
ERCC-00014	9.924183064
ERCC-00077	9.924183064
ERCC-00069	4.962091532
ERCC-00137	2.481045752
ERCC-00013	2.481045752
ERCC-00168	1.240522876
ERCC-00041	0.620261452
ERCC-00081	0.620261452
ERCC-00086	0.310130726
ERCC-00061	0.155065363
ERCC-00048	0.038766354
